sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
25,0.99875,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357,0.07009,1.0,0.0,0.0,14270,513,0.07217,0.99767,0.03744,0.06999,0.9697,0.03631,0.05333,0.73721,0.02766,0.88521,0.87435,0.89635,0.63272,0.83333,0.99943,0.74964,280.97549,4426.24,
26,0.96824,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05479,0.07123,1.0,0.0,0.0,18533,528,0.05603,0.98756,0.02883,0.05251,0.92768,0.02702,0.05208,0.91791,0.0268,0.91462,0.90696,0.92241,0.62159,0.8,0.99968,0.73077,531.76184,6995.29,
27,0.99802,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07632,0.88889,0.11111,0.0,15266,492,0.06477,0.96948,0.03351,0.05396,0.80941,0.02791,0.05615,0.84038,0.02904,0.80854,0.80411,0.81301,0.56929,0.77778,0.9993,0.69568,403.13602,5027.63,
28,0.95295,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.40801,0.55556,0.33333,0.11111,4871,490,0.19177,1.0,0.10606,0.18732,0.97862,0.10357,0.1277,0.66588,0.07062,0.79862,0.79534,0.80192,0.7188,1.0,0.99987,0.85939,186.30447,4204.58,
29,0.99309,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.04128,1.0,0.0,0.0,15057,505,0.06575,0.97867,0.03402,0.05812,0.86698,0.03007,0.05891,0.87678,0.03048,0.87988,0.85893,0.90189,0.63469,0.85714,0.99753,0.75996,353.94069,4755.66,
30,0.99801,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08237,1.0,0.0,0.0,8090,492,0.1146,1.0,0.06078,0.11213,0.98054,0.05947,0.10821,0.94417,0.05739,0.85734,0.84255,0.87267,0.539,0.5,0.94562,0.56406,209.19045,4426.22,
31,0.93056,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043,0.29828,0.16667,0.83333,0.0,5676,536,0.15372,0.93382,0.08375,0.12674,0.7715,0.06904,0.12629,0.76716,0.06881,0.87183,0.86799,0.8757,0.56573,0.5,0.85938,0.5688,158.74861,4426.21,
32,0.74018,7.0,1.0,1.0,0.0,0.0,0.0,1.0,0.19231,0.42726,0.11111,0.88889,0.0,6656,487,0.13786,0.93151,0.07444,0.09464,0.64073,0.05109,0.08447,0.57078,0.04561,0.77371,0.7712,0.77623,0.52723,0.66667,0.99874,0.63016,240.00014,4426.22,
33,0.63715,9.0,2.0,0.0,2.0,2.0,0.0,0.0,0.17241,0.24201,0.72727,0.09091,0.18182,7289,543,0.12812,0.91687,0.06887,0.0933,0.66912,0.05015,0.09908,0.70905,0.05326,0.90896,0.90418,0.91379,0.59871,0.81818,0.9484,0.72147,268.01133,4188.77,
34,0.75098,6.0,2.0,0.0,1.0,0.0,1.0,1.0,0.09091,0.07286,1.0,0.0,0.0,11012,508,0.08875,0.99277,0.04645,0.0851,0.95411,0.04454,0.07151,0.8,0.03743,0.84439,0.83213,0.85701,0.58351,0.875,0.99975,0.74173,323.52713,4306.19,
35,0.87799,7.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11538,0.38657,0.0,0.88889,0.11111,6557,496,0.14492,0.99511,0.07815,0.135,0.92892,0.07279,0.09258,0.6357,0.04992,0.78072,0.77202,0.78962,0.40438,0.33333,0.98343,0.43387,214.05214,4426.22,
36,0.99566,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27273,0.1022,0.875,0.125,0.0,2779,328,0.21214,1.0,0.11866,0.20769,0.98182,0.11613,0.206,0.97101,0.11522,0.92082,0.94402,0.89872,0.66735,0.875,0.97592,0.78127,132.81259,4426.21,
37,0.79908,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.22222,0.16741,0.71429,0.28571,0.0,4528,496,0.18615,0.92723,0.10346,0.13767,0.68706,0.0765,0.14138,0.70423,0.07858,0.87532,0.86426,0.88665,0.52875,0.42857,0.96614,0.53242,155.97868,4289.16,
38,0.99271,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08163,0.15239,0.85714,0.0,0.14286,12368,492,0.07641,0.98537,0.03974,0.07037,0.90954,0.0366,0.05087,0.6561,0.02646,0.85253,0.84049,0.86492,0.58636,0.71429,0.89576,0.66847,310.00123,4426.24,
39,0.77883,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.13314,0.9,0.1,0.0,5959,491,0.15653,1.0,0.08491,0.1525,0.97619,0.08271,0.13497,0.86223,0.07322,0.88719,0.88377,0.89065,0.64476,1.0,0.9576,0.81814,209.57842,3858.44,
40,0.17935,4.0,3.0,1.0,1.0,2.0,0.0,1.0,0.10526,0.08608,0.875,0.125,0.0,4640,498,0.1816,0.97416,0.10013,0.16048,0.86269,0.08847,0.15125,0.81137,0.0834,0.88024,0.86857,0.89222,0.6097,1.0,0.95194,0.80005,162.58017,4426.21,
41,0.99651,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13158,0.23946,0.57143,0.28571,0.14286,9613,499,0.09637,0.99012,0.05065,0.09183,0.94554,0.04826,0.08916,0.91605,0.04686,0.89362,0.8841,0.90335,0.65103,0.85714,0.99845,0.76822,249.01354,4426.23,
42,0.96503,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04167,0.11659,0.88889,0.0,0.11111,18215,492,0.05373,1.0,0.02761,0.05208,0.9715,0.02676,0.05093,0.94787,0.02617,0.88322,0.87926,0.88722,0.5492,0.88889,0.9454,0.72469,489.73704,7088.96,
