sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
117,0.97016,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07143,0.04289,1.0,0.0,0.0,3373,400,0.21506,0.97399,0.12088,0.19668,0.89275,0.11051,0.17996,0.81503,0.10115,0.8729,0.87536,0.87046,0.75908,1.0,0.98556,0.87809,123.50037,4272.17,
118,0.99435,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1293,0.90909,0.0,0.09091,2308,279,0.20615,0.98701,0.11509,0.19457,0.93478,0.10859,0.19168,0.91775,0.10702,0.92352,0.97136,0.88018,0.66697,0.72727,0.99815,0.72421,98.28565,3698.75,
119,0.81838,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.30769,0.19629,0.6,0.4,0.0,3156,383,0.18156,0.80317,0.10235,0.10197,0.45223,0.05747,0.14352,0.63492,0.08091,0.81533,0.80572,0.82517,0.59681,0.8,0.93505,0.71191,90.62548,4426.2,
120,0.81062,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.08044,1.0,0.0,0.0,12050,498,0.08552,0.99297,0.04468,0.07948,0.92488,0.04153,0.0593,0.68852,0.03098,0.80415,0.79307,0.81554,0.62243,0.85714,0.99196,0.75327,273.06398,4426.24,
121,0.67159,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.29412,0.51639,0.125,0.75,0.125,4329,499,0.21459,0.99769,0.12022,0.19477,0.90719,0.1091,0.13692,0.63657,0.07671,0.7825,0.78906,0.77604,0.67805,0.875,0.93937,0.78296,134.70603,4426.21,
122,0.99664,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19048,0.14524,0.66667,0.33333,0.0,5189,491,0.18094,0.99768,0.09949,0.17638,0.97442,0.09697,0.14854,0.81903,0.08168,0.84639,0.83906,0.85384,0.61835,0.66667,0.87033,0.66287,133.20231,4426.21,
123,0.99802,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.18097,0.85714,0.0,0.14286,3189,378,0.1992,0.92593,0.11161,0.1814,0.8452,0.1016,0.13214,0.6142,0.07403,0.88741,0.9114,0.86465,0.70225,0.85714,0.99994,0.79398,118.34648,4426.21,
124,0.97451,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.22958,0.66667,0.22222,0.11111,16213,496,0.05751,0.99261,0.02961,0.05594,0.9679,0.0288,0.0468,0.80788,0.0241,0.83874,0.81073,0.86875,0.61849,0.55556,1.0,0.63147,470.14329,5719.68,
125,0.99251,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06667,0.11998,0.875,0.0,0.125,7447,496,0.12186,0.9825,0.06496,0.10887,0.8797,0.05803,0.10915,0.88,0.05818,0.86001,0.85719,0.86284,0.69556,1.0,0.99899,0.84768,180.21673,4426.22,
126,0.99927,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.01283,1.0,0.0,0.0,10120,494,0.08971,0.98756,0.04699,0.08656,0.95511,0.04534,0.08587,0.94527,0.04498,0.93431,0.92523,0.94357,0.70175,1.0,0.97892,0.84877,185.02448,4426.22,
127,0.98441,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.41531,0.14286,0.85714,0.0,5576,496,0.16599,0.97059,0.09076,0.14206,0.8322,0.07766,0.11569,0.67647,0.06325,0.8188,0.81601,0.82162,0.57032,0.85714,0.95765,0.72378,139.54945,4426.21,
128,0.94018,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08511,0.06541,1.0,0.0,0.0,11907,490,0.07986,0.99525,0.0416,0.07606,0.95,0.03961,0.06861,0.85511,0.03574,0.90805,0.90716,0.90895,0.66101,0.85714,0.99922,0.77328,262.76698,4426.23,
129,0.90036,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07143,0.10983,0.71429,0.28571,0.0,7073,501,0.1342,0.99518,0.07195,0.12547,0.93237,0.06726,0.1147,0.8506,0.0615,0.85625,0.84932,0.86331,0.6839,1.0,0.95954,0.83791,175.73195,4426.22,
130,0.97583,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857,0.09947,0.875,0.125,0.0,7137,484,0.13039,0.99528,0.06976,0.1261,0.96454,0.06746,0.11216,0.85613,0.06001,0.88928,0.88219,0.89647,0.58852,0.75,0.97569,0.69183,198.43232,4426.23,
